Djibouti,56,56,56,56,56,56,56,56.1,56.4,57,58
Dominica,503.1,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7,478.7
Dominican Republic,15948.9,19724.7,20853.32,20914.38,20975.44,21036.5,21117.4,21198.3,21279.2,21360.1,21441
Ecuador,146322.1,137305,129445.86,129027.84,128609.82,128191.8,127549.1,126906.4,126263.7,125621,124978.3
"Egypt, Arab Rep.",438.1,592.1,587.52,553.08,518.64,484.2,449.8,449.8,449.8,449.8,449.8
El Salvador,7188.8,6738.8,6198.8,6153.8,6108.8,6063.8,6018.8,5973.8,5928.8,5883.8,5838.8
Equatorial Guinea,26991.5,26155.8,25152.94,25069.36,24985.78,24902.2,24818.6,24735,24651.4,24567.8,24484.2
Eritrea,..,11184.6,10805.4,10773.8,10742.2,10710.6,10679,10647.4,10615.8,10584.2,10552.6
Estonia,..,22388.9,23700.16,23870.14,24040.12,24210.1,24212.5,24384,24384,24384,24384
Eswatini,4611.4,4732.8,4878.58,4890.72,4902.86,4915,4927.2,4939.3,4951.4,4963.5,4975.6
Ethiopia,204085.6,185285,176525,175795,175065,174335,173605,172875,172145,171415,170685
Faroe Islands,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Fiji,9396.9,10064.7,10865.92,10932.68,10999.44,11066.2,11133,11199.8,11266.6,11333.4,11400.2
Finland,218753.3,224456.4,223088,223422,223756,224090,224090,224090,224090,224090,224090
France,144360,152880,165858,166692,167526,168360,169194,170028,170862,171696,172530
French Polynesia,1444.3,1485.5,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6,1494.6
Gabon,237616.2,237000,236256.46,236137.64,236018.82,235900,235781.2,235662.4,235543.6,235424.8,235306
"Gambia, The",4146.6,3573.3,2885.36,2828.04,2770.72,2713.4,2656,2598.7,2541.4,2484,2426.7
Georgia,..,27606,28224,28224,28224,28224,28224,28224,28224,28224,28224
Germany,113000,113540,114130,114150,114170,114190,114190,114190,114190,114190,114190
Ghana,99242.6,88486.1,79179.34,79054.36,78929.38,78804.4,79222.4,79640.4,79712.6,79784.8,79857.1
Gibraltar,0,0,0,0,0,0,0,0,0,0,0
Greece,32985.51,36002.296,39018.03,39018.03,39018.03,39018.03,39018,39018,39018,39018,39018
Greenland,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
Grenada,177,177,177,177,177,177,177,177,177,177,177
Guam,240,240,244,246,248,250,280,280,280,280,280
Guatemala,47812,42092,36678.8,36405.2,36131.6,35858,35742,35626,35510,35394,35278
Guinea,72760,69290,64970,64610,64250,63890,63490,63090,62690,62290,61890
Guinea-Bissau,22333.3,21488.8,20475.42,20390.98,20306.54,20222.1,20137.7,20053.3,19968.9,19884.5,19800.1
Guyana,186021.5,185642.2,184964.3,184847.4,184730.5,184613.6,184521.6,184429.5,184337.5,184245.4,184153.4
Haiti,3829.2,3806.5,3721.68,3690.62,3659.56,3628.5,3597.4,3566.3,3535.2,3504.1,3473
Honduras,69877.8,67782.7,65308.14,65084.86,64861.58,64638.3,64430.5,64221.1,64011.6,63802.1,63592.6
"Hong Kong SAR, China",..,..,..,..,..,..,..,..,..,..,..
Hungary,18139,19211.7,20521.62,20550.48,20579.34,20608.2,20587.3,20572.7,20559.2,20544.7,20530.1
Iceland,170.7,298.3,460.66,467.64,474.62,481.6,486.6,493.8,500.4,506.9,513.5
India,639380,675910,700288,702952,705616,708280,710944,713608,716272,718936,721600
Indonesia,1185450,1012800,978066.8,968804.2,959541.6,950279,952718,939498,933442.7,927387.3,921332
"Iran, Islamic Rep.",90760.6,93256.6,106919.8,106919.8,106919.8,106919.8,107020.8,107105.9,107270.3,107434.7,107518.7
Iraq,8040,8180,8250,8250,8250,8250,8250,8250,8250,8250,8250
